CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6449080,1,4,2,M,17,0,3,N,Y,0,"SAN DIEGO","SAN DIEGO",2014
6449080,1,5,2,M,17,0,4,N,Y,0,"SAN DIEGO","SAN DIEGO",2014
6449080,1,6,2,F,29,3,5,N,X,0,"SAN DIEGO","SAN DIEGO",2014
6449093,1,1,4,M,40,4,1,P,-,1,"SAN DIEGO","SAN DIEGO",2014
6449097,1,1,2,M,30,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6449097,2,1,4,M,22,3,1,A,W,0,"SAN DIEGO","SAN DIEGO",2014
6449099,1,1,4,M,24,4,1,-,-,1,"SAN DIEGO","SAN DIEGO",2014
6449104,2,1,4,F,73,3,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6449107,1,1,4,F,47,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2014
6449107,2,1,2,F,32,0,3,G,M,0,"SAN DIEGO","SAN DIEGO",2014
6449107,2,2,2,F,37,0,6,G,M,0,"SAN DIEGO","SAN DIEGO",2014
6449120,1,1,2,F,29,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6449120,1,2,2,M,14,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6449120,2,1,4,M,60,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6450903,2,1,4,M,48,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6450995,1,1,4,M,23,4,0,P,V,2,"SAN DIEGO","SAN DIEGO",2014
6451641,1,1,4,M,25,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6452895,2,1,4,M,22,3,1,M,V,0,"SAN DIEGO","SAN DIEGO",2014
6454874,1,1,4,F,59,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6454878,1,1,4,F,29,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6459482,2,1,4,F,55,3,1,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6459499,1,1,4,M,23,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6459743,2,1,4,F,48,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6459751,2,1,4,M,49,4,1,P,V,2,"SAN DIEGO","SAN DIEGO",2014
6461615,1,1,4,M,40,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6466792,2,1,4,M,49,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6467610,2,1,4,M,17,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6467617,1,1,4,F,31,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6467633,1,1,4,M,32,3,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6467634,1,1,4,M,28,4,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6467643,1,1,4,M,10,3,0,P,W,2,"SAN DIEGO","SAN DIEGO",2014
6467643,2,1,2,M,59,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6467647,1,1,4,M,27,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6467655,2,1,4,M,17,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6467672,2,1,4,F,64,2,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6467689,1,1,4,M,50,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6471201,1,1,4,M,58,4,1,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6471787,1,1,4,M,43,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6474655,1,1,2,F,998,0,9,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6474655,1,2,2,M,998,0,9,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6474655,1,3,2,M,998,0,9,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6474655,1,4,2,F,998,0,9,P,-,0,"SAN DIEGO","SAN DIEGO",2014
6474655,2,1,3,F,12,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6477006,2,1,4,M,53,3,0,N,W,3,"SAN DIEGO","SAN DIEGO",2014
